	Ведро 5л б/крышки;Ведро 7л б/крышки;Ведро 10л б/крышки;Ведро 10л с крышкой;Ведро 12л б/крышки
	Этажерка для обуви;Совок д/мусора Москва;Совок д/мусора 'Лень';Комплект совок д/мусора с щеткой;Корзина для мусора Москва (с прорез.)
	Таз 7 л круглый;Таз 10 л круглый;Таз 12 л круглый;Таз 15 л круглый;Бумагодержатель Москва
	Вешалка-плечики р. 52-54;Вешалка-плечики р. 48-50;Вешалка-плечики р. 50-52;Вешалка-плечики дерев. с перекладиной;Вешалка-плечики дерев. с перекладиной 3 шт в упак.
	Щетка д/мытья посуды 'ОЛА';Щетка для пола(деревян.) щетина;Щетка для  подметания метро 0.5 м 4-х ряд(деревян.);Щетка для подметания метро 0.6 м 4-х ряд(деревян.);Щетка для пола Шробер с коротким жестким ворсом
	Щетка для пола 'Моника';Щетка  металлическая 4-рядная;Черенок металический для щеткок и мопов 120 см;Швабра деревянная для пола;Швабра 'Кентукки' отжимная хлопок
	Швабра губчатая отжимная с ручкой PVA;Швабра пластик д/пола 40*10 см с насадкой хлопок;Швабра пластик д/пола 40*10 см с насадкой микрофибра;Насадка д/швабры 'МОП-люкс 'York' х/б;Насадка д/швабры 'МОП' микрофибрка (кентукки)
	Палка телескопическая 1,5м;Насадка д/швабры 60см МОП микрофибра с ушками;Насадка д/швабры 40 см МОП микрофибра с ушками;Насадка д/швабры 40см МОП 100% хлопок;Валик малярный 100 мм
	Валик малярный мех 200 мм;Клеенка медицинская;Термометр уличный;Щетка-сметка 280 мм 3-х ряд.;Щетка для одежды
	Щетка для обуви;Щетка для ванны;Щетка утюжок;Щетка для  мытья окон б/черенка;Щетинистое покрытие 0,9м*10м (травка зелёная)
	Коврик ворсовый;Коврик резиновый грязесборный ячеистый;Коврик-травка 'Зеленая Трава';Коврик универсальный резиновый (ванная, прихожая);Вантуз с деревянной ручкой
Ерш д/унитаза;Ерш бутылочный;Ерш д/унит. с подставкой (малый);Ерш д/унит. с подставкой (большой);Щит подножный 1м х 0,5 (дерево+щетина)
Лампа накаливания 75 Вт;Лампа накаливания 60 Вт;Лампа накаливания 40 Вт;Лампа люминесц. ЛБ-40, ЛД-40;Лампа люминесц. ЛБ-20,ЛД-20 20 Вт
Dosia-матик в ассортименте;Dosia-матик колор, лимон;Dosia-универсал в ассортименте;Dosia-матик в ассортименте;Dosia-матик
Персил ручная стирка (Эра);Персил-автомат колор (Эра);Персил-автомат колор (Эра);Персил-автомат (Эра);Персил-автомат колор (Эра)
'Ласка' магия бальзама д/шерсти (Эра);'Ласка-гель' магия цвета (Эра);'Ласка-гель' магия черного (Эра);'Ласка-гель' сияние белого (Эра);'Ласка-гель' магия  бальзам (Эра)
Тележка (И) 4 кол.платф.решет. повор. T- ручка;Тележка (И) 4-х кол. МАЛАЯ;Тележка (И) 4-х кол. под ВАННУ;Тележка (И) 4х кол. платф решет;Тележка (И) 4х кол. пов.ручка, СПЛОШ. ПЛАТФ
Скамейка парковая со спинкой и ПОДЛОКОТНИКАМИ 2000х400х900мм;Скамейка парковая со спинкой и ПОДЛОКОТНИКАМИ - УСИЛЕННАЯ 2000х400х900мм;Скамейка парковая со спинкой, закругленная 1550х900х600 мм;Скамейка парковая со спинкой НА ДВУХ ОПОРАХ 1500х360х900мм;Шпагат льнопеньковый 1,25ктекс (50м)(100)
Салфетка 'влажная 3шт в уп.;Салфетка 'сухая 3шт в уп.;Салфетка микрофибра 50*70;Салфетка микрофибра 40х30см 'Универсал';Салфетка микрофибра 40х40см 'ТЕХТОР'
Лента сигнальная (50мм х 200м) цветная, для ограждения;Скотч 38мм х 25м двусторонний полипропиленовый;Скотч 48мм х 47м прозрачный;Скотч 50мм х 25м полипропилен. двухстор.;Скотч 50мм х 50м прозрачный
